question,answer,difficulty
"A man in his 70s presented for evaluation of a nonhealing lesion of his left cheek. Examination of the head and neck revealed the incidental finding of bilateral auricular rigidity and immobility. Both ears appeared normal and were nontender and asymptomatic (Figure, A). The patient recalled that his barber had noted an increase in difficulty trimming hair in the areas around his auricles owing to their inflexibility. The only other notable finding was increased rigidity of his nasal cartilage. The patient denied any decrease in auditory acuity, frostbite, or any previous trauma to his ears. His medical history included type 2 diabetes mellitus, hypertension and secondary chronic renal insufficiency, cardiovascular disease, and gout. His long-term medications included lisinopril, glipizide, terazosin, insulin glargine, labetalol, allopurinol, hydrochlorothiazide, and erythropoietin. An incisional biopsy of his left auricle was performed. Hematoxylin-eosin staining of the biopsy specimen showed regions of ossification and calcification (Figure, B). A computed tomographic (CT) scan of the head was performed within 2 weeks of his original biopsy and showed extensive calcification in the area of the auricles (Figure, C). The patient’s laboratory workup showed an elevated creatinine level of 1.8 mg/dL (reference range, 0.6-1.2 mg/dL), which had been his baseline level for the past 2 years. He had a hemoglobin level of 11.1 g/dL (reference range, 14-18 g/dL), which was felt to be secondary to his chronic renal failure. His serum calcium level  had been normal with the exception of an elevated value noted of 10.4 mg/dL noted 1 year ago (reference range, 8.7-10.2 mg/dL). His phosphorus, alkaline phosphorus, electrolyte, and AM cortisol levels; parathyroid function; and thyroid function were within normal limits. A, Photograph of ear. B, Photomicrograph of biopsy sample. C, Head computed tomographic image. What Is Your Diagnosis?",Petrified ear,hard
"A man in his 30s had ulceration of the skin of the soles, legs, hands, elbow joints, and face of 15 days’ duration. It had started as swelling of the feet, followed by erythematous acral lesions. Numbness of the hands and feet had begun 1½ years previously, spreading gradually to the forearm and legs. He had no history of fever, joint pains, or epistaxis. Black eschar and ulceration with purulent discharge was seen over the soles and elbows. There were triangular and bizarre purpuric and necrotic lesions over the legs, thighs, and dorsum of the hands (Figure, A) with necrosis of pinnae and nasolabial folds. The scrotum was also affected. There was diffuse infiltration of the face and madarosis of the lateral half of the eyebrows. He also had hypoesthesia over the palms, proximal forearms, feet, and legs. Peripheral nerve examination revealed thickening of the right radial cutaneous and both ulnar nerves. Bilateral inguinal lymphadenopathy was present. Findings from the rest of the general physical and systemic examination were normal. Punch biopsy specimens were obtained (Figure, B-D). A, Multiple bizarrely shaped purpuric and necrotic plaques on the hands and lower limbs. Erosion is seen on the scrotum. B-D, Histopathologic images. What Is Your Diagnosis?",Lucio phenomenon,easy
"A woman in her 60s presented with a 6-month history of itchy eruptions that initially started on the arms and then spread to involve the lower legs. The patient admitted to occasional burning sensation of new lesions. On review of systems, the patient denied fevers, fatigue, myalgias, arthritis, shortness of breath, oral ulcers, and recent infections. Clinical examination revealed several erythematous patches and plaques on the arms and lower legs, and nontender violaceous firm nodules on the elbows, wrist, ankle, interphalangeal, and metatarsophalangeal joints (Figure 1A and B). There was no lymphadenopathy present. A punch biopsy specimen from a plaque on the right forearm was obtained (Figure 1C and D). What Is Your Diagnosis?",Erythema elevatum diutinum,easy
"A 69-year-old white man presented to the emergency department reporting 2 months of progressive bilateral lower extremity weakness, left facial weakness, and diplopia in the setting of a 20.4-kg weight loss over the previous 6 months and new-onset urinary incontinence. Two months prior he had undergone lumbar vertebra 3–sacra vertebra 1 lumbar laminectomies performed for symptomatic spinal stenosis. Despite this, his leg weakness worsened. He denied headaches, fevers, cough, risk factors for immunosuppression, or travel outside of the northwestern United States. His medical history was notable for hypertension and a 50-packs-per-year smoking history.  Physical examination was notable for a thin, frail-appearing man with normal vital signs and intact mentation. Cranial nerve examination revealed visual acuity of 20/400 OS, with an afferent pupillary defect and left-sided facial weakness including eye closure. He demonstrated profoundly decreased bulk and hypotonia throughout all extremities, with fasciculations apparent across his chest and lower extremities. Lower extremity muscle strength was graded 2/5 throughout with absent reflexes and intact sensation. Initial laboratories revealed a normal complete blood cell count and chest radiography. Magnetic resonance imaging of the neuroaxis revealed leptomeningeal enhancement around the cerebral convexities, cerebellum, and spinal cord including the cauda equina (Figure 1). Cerebrospinal fluid (CSF) studies revealed a white blood cell count of 29/μL (to convert to × 109per liter, multiply by .001) with a near-complete lymphocytic predominance, a red blood cell count of 363 × 106/μL (to convert to × 1012per liter, multiply by 1), a protein level of 0.142 g/dL (to convert to grams per liter, multiply by 10), and glucose level of 19 mg/dL (to convert to millimoles per liter, multiply by 0.0555). Cerebrospinal fluid cytology analysis did not identify malignant cells, with negative assay results for tuberculosis and fungal infections. Repeated flow cytometry did not identify abnormal B-cell or T-cell population. Whole-body positron emission tomography–computed tomography showed extensive leptomeningeal and nerve root hypermetabolism without evidence of a primary malignancy. Sagittal T1-weighted MRI of the lumbar spine without (A) and with (B) contrast showing leptomeningeal enhancement of the lumbar spinal cord, cauda equina, and multilevel postsurgical changes. What Is Your Diagnosis?",Primary central nervous system lymphoma–leptomeningeal variant,hard
"A man in his early 30s presented with 4 days of acute, monocular, painless vision loss. His visual acuity was 20/200 OD and 20/20 OS. There was no afferent pupillary defect, his color vision was intact bilaterally, and his intraocular pressures were normal. No anterior chamber or vitreal inflammation was present. Ophthalmoscopic examination of the right macula revealed a 2–disc diameter area of heterogeneous yellow retinal pigment epithelial (RPE) discoloration with overlying neurosensory retinal detachment and several small retinal hemorrhages (Figure 1A). The optic disc and retinal vessels were unremarkable, and ophthalmoscopic examination of the left eye revealed no abnormalities. A, Fundus photography of the right eye shows retinal pigment epithelial discoloration and retinal hemorrhages. B, Optical coherence tomography demonstrates neurosensory retinal detachment overlying irregular retinal pigment epithelium and thickened choroid. The patient denied recent corticosteroid use, joint pain, weight loss, myalgias, or cardiovascular, neurologic, or gastrointestinal symptoms. He had fevers and mild upper respiratory tract symptoms 2 weeks before his presentation, closely followed by a rash on his hands and thighs. A young family member had similar symptoms. Spectral-domain optical coherence tomography (SD-OCT) revealed a fovea-involving neurosensory retinal detachment, outer photoreceptor thickening, and an intact external limiting membrane overlying a zone of mildly thickened, irregular RPE. The submacular choroid was relatively thick bilaterally on enhanced depth imaging OCT (Figure 1B). Combined fluorescein and indocyanine green angiography demonstrated mottled early hyperfluorescence with late staining and minimal pooling. There was no leakage from the retinal vessels or optic discs bilaterally, and uninvolved areas of RPE and choroidal vasculature were unremarkable. A test for rapid plasma reagin was negative. What Would You Do Next?",Observe; follow up in 4 to 6 weeks with SD-OCT,hard
"An otherwise apparently healthy Hispanic man in his 40s and of Mexican origin was referred for evaluation of an asymptomatic posterior segment tumor in his left eye. The patient’s corrected visual acuity was 20/20 OU. His pupils, intraocular pressures, motilities, and confrontational visual fields were normal in each eye. Findings from the anterior slitlamp examination were normal in both eyes. A dilated fundus examination of the right eye was unremarkable, but examination of the fundus of the left eye revealed a lesion in the temporal periphery.Figure 1shows a wide-field photograph and the results of ultrasonography of the lesion. Intraocular mass in the left eye of a man in his 40s. A, Wide-field photograph of the fundus of the left eye. B, Ultrasonographic image of the left eye demonstrating a large cyst in the temporal peripheral retina. What Would You Do Next?",Ultrasound biomicroscopy,easy
"A man in his 30s who had sustained a stab injury to his left orbit 15 years earlier was assessed for a proptotic left eye. His visual acuity was 6/6 Snellen in both eyes with restricted elevation of his left eye. A scar resulting from the stab wound was clearly visible just below his left brow. The pulsatile proptosis had a difference of 14 mm between his eyes. His left eye had a palpable thrill, audible bruit, chemosis, dilated conjunctival blood vessels, and a swollen upper eyelid. His intraocular pressures (IOPs) measured 40 mm Hg in the left eye and 24 mm Hg in the right eye by Goldmann tonometry. Gonioscopy (Schaffer grading) revealed 360° open angles, grade 2 in the left eye and grade 3 in the right eye, with blood visible in the Schlemm canal in the left eye only. His left disc was pathologically cupped with a cup-disc ratio of 0.8, and his right disc had a ratio of 0.5. His IOP did not reduce with maximum medical treatment, which included acetazolamide sodium, latanoprost, timolol maleate, brimonidine tartrate, and mannitol, 20%. A computed tomographic scan revealed an enlarged left superior orbital fissure (SOF) (Figure 1A) and engorged orbital veins (Figure 1B). A, Enlarged left superior orbital fissure (arrowhead) shown on 3-dimensional computed tomography (CT). B, On contrasted axial CT, the enlarged superior ophthalmic vein has the appearance of a hockey stick (arrowhead). What Would You Do Next?",Digital subtraction angiography with embolization of carotid cavernous fistula,medium
"Four days following resection of a scrotal lipoma, a 15-year-old boy with trisomy 21 presented to the emergency department with somnolence, pain, and paucity of speech with right hand and face weakness. The scrotal lipoma resection had been performed under general anesthesia without complications. He was somnolent immediately following the procedure, and had not spoken since the day after the procedure. He was taking acetaminophen and 10 mg of oxycodone every 4 hours. Right-sided hand and face weakness developed 2 days after the procedure. His medical history was significant for trisomy 21, with mild cognitive delay and baseline dysarthria, but no aphasia. He had been self-sufficient with daily activities. In the emergency department, his examination was significant for a temperature of 38.1°C and significant scrotal swelling and pain. The neurologic examination was remarkable for somnolence, right hemineglect, right facial droop with right hand weakness, right patellar hyperreflexia, and mutism, although he attempted to use sign language. His laboratory values showed a white blood cell count of 6.8 × 103/μL (to convert to  × 109/L, multiply by 0.001), platelet count of 248×103/µL (to convert to × 109/L, multiply by 1), hematocrit level of 30.9% (to convert to proportion of 1.0, multiply by 0.01), hemoglobin level of 10.2 g/dL (to convert to grams per liter, multiply by 1) with a normal differential, activated partial thromboplastin time of 40 seconds, fibrinogen level of 678 mg/dL (to convert to grams per liter, divide by 100), and normal urinalysis results. He received naloxone, after which his alertness improved, he could say his name, and he could follow commands well. The right face and hand weakness persisted, and he was unable to walk independently. Magnetic resonance imaging of the brain was performed (Figure 1). What Is Your Diagnosis?",Ischemic stroke,hard
"A woman in her 50s presented with a 4-week history of a slowly enlarging mass on the left side of the neck. Physical examination revealed a mobile, nontender, 4-cm mass in the left side of the floor of mouth. A contrast-enhanced computed tomographic scan of the neck showed a 3.8-cm cystic neck mass in the left floor of mouth (Figure, A). An ultrasonography (US)-guided fine-needle aspiration (FNA) biopsy showed bland-appearing cuboidal to columnar epithelial cells arranged in clusters; no malignant cells were identified. Repeated US-guided FNA biopsy showed a hypercellular specimen composed of numerous fragments of bland-appearing cuboidal and columnar epithelium and granular debris, which was eosinophilic in cell block sections and papillary structures with fibrovascular cores. The hypercellularity was atypical, and a low-grade neoplasm could not be ruled out. At this point, the patient elected observation of the mass and a repeated biopsy. A core biopsy showed a well-differentiated papillary neoplasm with hyalinized fibrovascular cores and some degenerative changes (Figure, B-D). Immunophenotypically, the neoplastic cells were negative for the markers TTF-1, PAX-8, estrogen receptor, and thyroglobulin. These results, with the morphologic characteristics, were most consistent with a low-grade salivary neoplasm. She underwent excision of the cystic floor of mouth mass and a level I neck dissection. Pathologic examination revealed a cystic, 2.5-cm encapsulated mass arising from a minor salivary gland. A, Computed tomographic image of the neck showing a mass in the left floor of mouth. B-D, Histopathologic images. What Is Your Diagnosis?",Intraductal papilloma,medium
"A 5-year-old girl with a history of autism presented to an outside emergency department with a 10-day history of otitis media and recent fevers. She was eventually transferred to our hospital after a computerized tomographic (CT) scan was performed showing potential clinically significant ear abnormalities. On evaluation, the patient had a bulging, hyperemic left tympanic membrane, along with fullness of the postauricular, upper cervical region. Facial nerve function was intact. No focal neurologic deficits or meningeal signs were observed. A CT scan of the temporal bones with contrast was performed at our facility (Figure). A-C, Axial computed tomographic (CT) scans with contrast. What Is Your Diagnosis?",Complications of otitis media,easy
"An elderly man was evaluated for long-standing discharge and hearing loss in the left ear and mild dizziness. Biopsy of the soft tissue at the external ear canal (EEC) showed granulation tissue. He did not have facial weakness. He was obese and had congestive heart failure and hypertension. Findings from the otolaryngologic examination were otherwise unremarkable. Advanced-stage mixed conductive and sensorineural hearing loss in the left ear were noted. Computed tomography (CT) showed a soft-tissue mass in the mastoid and middle ear cavity extending to the EEC with no significant erosion of ossicles (Figure, A). During modified radical mastoidectomy, the mastoid cavity was found to be full of edematous, fragile soft tissue with mucoid secretions. The incus was intact but dislocated. Histopathological examination revealed a polypoid lesion showing typical papillary architecture with central fibrovascular cores and dilated glandular structures, lined by a bland-looking single layer of high columnar/cuboidal epithelial cells (Figure, B). No mitotic activity or necrosis was detected. The richly vascularized fibrotic stroma consisted of cholesterol clefts, foamy macrophages, lymphocytes, and eosinophils, reminiscent of inflammatory granulation tissue (Figure, C). The epithelial cells were positive for cytokeratin-7 (CK7) (Figure, D), CK19, epithelial membrane antigen, and glial fibrillary acidic protein. Ki-67 immunostain showed a proliferation index of less than 1%. A, Temporal bone at the level of external acoustic canal. M indicates mastoid cavity; J, jugular bulb; C, carotid canal; E, external ear canal. B-D, Histopathologic images. B, Papillary structures; original magnification ×20. C, Papillary and dilated glandular structures; original magnification ×10. D, Strong CK7 positivity; original magnification ×20. What Is Your Diagnosis?",Endolymphatic sac tumor,hard
"A teenaged girl was evaluated for loss of smell with a probable duration of years, but she was uncertain about exact duration. Her parents stated that at the age of 3 years she sustained minor trauma to her nose while at a playground but that she had not experienced any major head trauma. The patient had a history of frequent cough and congestion, seasonal allergies, monthly migraine headaches, and considerable nose congestion at night. She did not recall a history of recurrent sinusitis, snoring, or mouth breathing. Her family history was otherwise normal and did not include any pattern of familial anosmia or delayed puberty. She reported the ability to detect very strong odors but not subtle ones. She was even unable to smell smoke at times. Physical examination revealed a clinically significant hump on the dorsum of the nose consistent with minimal prior trauma, but no other abnormal findings. The patient failed the Penn smell tests, correctly identifying only 3 of the 11 smells. Flexible fiber-optic examination of the nose revealed no masses, polyps, or cysts. A magnetic resonance image of the anterior skull base demonstrated absent olfactory sulci (OS) and bilateral olfactory grooves containing minimal tissue (Figure, A, yellow arrowheads). TheFigure, B, depicts normal OS (pink arrowheads) and bulbs (yellow arrowheads) from a different patient for comparison. A, The anterior skull base of the study patient. B, A normal patient. What Is Your Diagnosis?",Isolated anosmia,medium
"A man in his early 20s presented to the otolaryngology clinic with a history of a small opening in the left lateral side of the neck that produced chronic purulent discharge. Despite several previous attempts at surgical resection, the drainage had persisted for 6 years. Initial computed tomography (CT) identified infiltration of the subcutaneous tissues in the left side of the neck anterior to the strap muscle at the level of the larynx, without discrete abscess. Computed tomography also showed a small tract that extended from the skin of the lateral side of the neck to the left strap muscles. The patient was referred to radiology, where a 22-gauge intravenous access catheter was inserted into the draining puncta. Isovue-300 was infused under conventional fluoroscopic guidance (Figure, A). When the patient stated that he tasted contrast material, the infusion was terminated, and the patient was transferred to the CT service, where axial images of the neck were obtained and reformatted in multiple planes (Figure, B and C). A, Conventional fluoroscopic fistulogram of the neck. B and C, Maximum-intensity projection reformatted computed tomographic (CT) images of the neck. What Is Your Diagnosis?",Thyroglossal duct fistula,easy
"A 39-year-old active woman presented with a progressive 6-month history of bilateral lower extremity pain after walking 1 block or ascending a flight of stairs. The pain was aching, relieved with rest, and primarily in her buttocks and thighs bilaterally. The patient denied history of prior abdominal or lower extremity surgery, trauma, or cardiovascular problems. Review of systems and family history revealed nothing remarkable. Physical examination revealed normal sinus rhythm and normal blood pressure. She had no abdominal tenderness and no palpable masses. Femoral pulses were weakly palpable and symmetric, and pedal pulses were not palpable. Laboratory findings were unremarkable except for an elevated erythrocyte sedimentation rate (ESR) (34 mm/h). Blood and urine cultures were negative. Noninvasive arterial flow studies demonstrated an ankle brachial index of 0.60 on the right and 0.62 on the left with biphasic waveforms in the femoral, popliteal, and tibial vessels. Subsequent magnetic resonance angiography (MRA) of the chest, abdomen, and pelvis showed mild stenosis of bilateral subclavian arteries and an abnormal-appearing infrarenal aorta (Figure 1). Magnetic resonance angiography of the abdomen and pelvis. What is Your Diagnosis?",Takayasu arteritis,easy
"A previously healthy, African American man in his mid-60s with a history of hepatitis C cirrhosis (compensated) presented to the emergency department after collapsing at work with sudden-onset back and abdominal pain. He was hypotensive (blood pressure, 87/55 mm Hg) on arrival to the emergency department. The patient’s condition was rapidly stabilized and computed tomography with contrast demonstrated a large (12.4 × 10.2-cm) right hepatic mass with heterogeneous enhancement on arterial phase and intrahepatic and intraperitoneal hemorrhage (Figure 1A). Emergency angiography was performed by interventional radiology, demonstrating active contrast extravasation originating from the right hepatic artery. Embolization was performed with Gelfoam and microparticles, resulting in hemodynamic stability and a quick recovery. Delayed liver resection was subsequently performed (Figure 1B). A, Large hepatic mass seen on computed tomography, with evidence of intrahepatic and intraperitoneal hemorrhage. B, Pathologic specimen after delayed surgical treatment of the underlying mass. What Is Your Diagnosis?",Ruptured hepatocellular carcinoma,easy
"A 64-year-old man was diagnosed with chronic lymphocytic leukemia (CLL). He presented with progressive inguinal lymphadenopathy and a leukocytosis of 144 000/µL with 97% lymphocytes (intermediate modified Rai stage). Bone marrow cytogenetics and fluorescence in situ hybridization demonstrated 11q and 13q deletions. He received fludarabine, cyclophosphamide, and rituximab, achieving a complete remission. Six months later, he experienced disease recurrence. He received bendamustine plus rituximab, with resolution of lymphadenopathy and lymphocytosis. Prolonged cytopenias precluded continuation of therapy, and lymphadenopathy and lymphocytosis again recurred. A next-generation sequencing (NGS) panel was ordered on peripheral blood to evaluate for potentially targetable genomic alterations (Table). CARD11mutation is associated with ibrutinib resistance, therefore ibrutinib should not be used. CARD11mutation is found only in a subclonal population and thus ibrutinib should be avoided. The significance of the amino acid exchange in CARD11 is a variant of unknown significance, so treatment with ibrutinib may be considered. The significance of the amino acid exchange in CARD11 is a variant of unknown significance, so treatment with ibrutinib should not be considered. How Do You Interpret These Test Results?","The significance of the amino acid exchange in CARD11 is a variant of unknown significance, so treatment with ibrutinib may be considered.",medium
"A 50-year-old man was evaluated for a 5-month history of blurry vision. He had been diagnosed with the metabolic syndrome many years previously but has not seen his physician in years. He reported no current use of medications. On examination, he had a body mass index of 30.6 and a blood pressure of 160/102 mm Hg. A dilated examination of the retina is shown in theFigure. What Would You Do Next?",Order magnetic resonance imaging (MRI) of the brain,easy
"A 19-year-old woman presented to her primary care physician for evaluation of oligomenorrhea. She has had fewer than 6 menstrual cycles per year since menarche at 13 years of age. Her last menstrual cycle was 9 months ago, and at that time, she sought gynecologic evaluation. Her gynecologist considered the possibility of polycystic ovary syndrome (PCOS) and obtained laboratory measurements for thyrotropin, prolactin, follicle-stimulating hormone, and luteinizing hormone but questioned the diagnosis of PCOS because of a normal luteinizing hormone-to-follicle-stimulating hormone ratio (Table 1). The gynecologist referred the patient to an endocrinologist. The patient reported having oily skin, acne, and excessive facial hair growth since menarche. Her friends noted thinning of her hair. She had recently gained 20 lb (9 kg) and has had a difficult time losing weight despite increasing her physical activity. On examination, the patient’s body mass index was 28 (calculated as weight in kilograms divided by height in meters squared), and she had excessive coarse dark hair on the chin and abdomen (upper and lower; Ferriman-Gallwey score of 9) and acne on the face and back. Laboratory results from her gynecological visit were reviewed and additional tests were obtained. The elevated testosterone level is consistent with polycystic ovary syndrome (PCOS). The normal fasting glucose level excludes abnormal glucose tolerance. The normal leuteinizing hormone-to-follicle-stimulating hormone ratio excludes PCOS. The diagnosis of PCOS requires documentation of polycystic ovaries by ultrasonography. How Do You Interpret These Results?",The elevated testosterone level is consistent with polycystic ovary syndrome (PCOS).,medium
"A 64-year-old man with type 2 diabetes, hypertension, and chronic kidney disease (CKD) presented with new weakness. Six months ago he had a myocardial infarction complicated by heart failure with an ejection fraction of 35%. His medications were lisinopril, metoprolol succinate, insulin, and furosemide. One week ago, he was diagnosed with cellulitis of the right leg and prescribed a 7-day course of trimethoprim-sulfamethoxazole. Two days ago he noticed generalized weakness, which had worsened over the last 24 hours. Physical examination showed resolving cellulitis on the right leg. Other than symmetrical 3/5 strength in the upper and lower extremities, his neurologic examination results were normal. An electrocardiogram was unchanged from 2 months ago. Laboratory results are shown in theTable. How Do You Interpret These Results?",Drug-induced hyperkalemia,easy
"A woman in her 80s presented with a 1-week history of progressive, painful blisters and ulcers of the groin. This was associated with enlargement of the tongue over the past 3 months, leading to difficulty with mastication. She also reported numbness with no associated weakness of her distal lower limbs for 3 months. This restricted her mobility to the extent that she required diapers. However, she declined any further investigations for her peripheral neuropathy. She had IgG λ-type multiple myeloma complicated by anemia and lytic lesions in the calvarium, which was managed conservatively with transfusions. She was taking folic acid and intramuscular cyanocobalamin supplements owing to deficiencies attributed to a dietary cause. On examination, there were circinate purpuric patches with erosions on the natal cleft, buttocks, inguinal creases, and vulva (Figure, A). Hemorrhagic flaccid bullae were observed on the posterior perineum. This was accompanied by macroglossia, glossitis, and a hemorrhagic erosion on the hard palate (Figure, B). There were purpuric macules periorbitally and on the lips, inframammary folds, forearms, and thighs. Laboratory findings revealed a platelet count of 171 × 103/μL (reference range, 140-440 × 103/μL), prothrombin time of 11.7 seconds (reference range, 9.9-11.4 seconds), activated partial thromboplastin time of 36.0 seconds (reference range, 25.7- 32.9 seconds), and serum zinc levels of 34.4 μg/dL (reference range, 72.4-124.4 μg/dL). (To convert zinc to micromoles per liter, multiply by 0.153.) Results from initial punch biopsies from a purpuric macule on the right inframammary fold and a blister at the perineum were inconclusive. A repeated biopsy from a hemorrhagic blister at the left groin was performed (Figure, C and D). A, Purpura and erosions at the buttocks. B, Clinical findings of macroglossia and glossitis with purpura of the lips. C, Punch biopsy specimen of a flaccid bulla showing the floor of a subepidermal blister lined by fibrin and a chronic inflammatory infiltrate. D, Scattered short eosinophilic amorphous bands in the dermis. What Is Your Diagnosis?",Bullous amyloidosis,hard
"A man in his early 40s with a medical history significant for verruca vulgaris, dyshidrotic eczema, and human immunodeficiency virus (HIV) diagnosed 1 year prior to presentation reported a chief complaint of dry, swollen lips. The patient reported a 1-month history of “puffy and bumpy” lips. He also described his lower lip as sometimes becoming “dry and scaly” during this time but denied any bleeding from the area. On physical examination, there were several erythematous papules at the vermillion border of the lower lip within a background of edema (Figure, A and B). In addition, the patient had slight fissuring of the tongue, but the remainder of the oral mucosa was normal and intact. Findings of a complete review of systems were unremarkable, other than occasional headaches. The patient denied fevers, night sweats, abdominal pain, neurologic symptoms, chest pain, cough, and shortness of breath. He disclosed full compliance with his HIV highly active antiretroviral therapy (HAART), which included ritonavir, darunavir, etravirine, and raltegravir. He also reported taking sumatriptan as needed for headaches. Numerous laboratory tests were performed, including a complete blood cell count, complete metabolic panel, CD4 count, HIV viral load, and assays for C-reactive protein, erythrocyte sedimentation rate, angiotensin-converting enzyme, and rapid plasma reagin; all results were normal except for a slightly elevated angiotensin converting enzyme level (84 µg/L; normal, 9-67 µg/L). His CD4 count was within normal limits (520 cells/µL) and HIV viral load was undetectable. A biopsy was performed on the right lower lip (Figure, C and D). Clinical images (A and B) show persistent, nontender swelling of the lips in a patient with human immunodeficiency virus, showing erythematous papules at the vermillion border and edema of the lower lip. C and D, Histologic images of a biopsy specimen from a papule on the lower lip show, at low magnification (C), a nodular, nonnecrotizing granulomatous dermatitis and, at higher magnification (D), the presence of epithelioid histiocytes with admixed lymphocytes. What Is Your Diagnosis?",Granulomatous cheilitis,hard
"A 41-year-old woman presented with a rapidly growing, painful nodule on her upper cutaneous lip (Figure, A) as well as several smaller papules on her face and neck, all of which had developed within the preceding 6 months. She was otherwise asymptomatic. A, Centrally depressed, firm, pink 1.1-cm nodule on the upper cutaneous lip and skin-colored papule on the left medial cheek (above marker dots). B, Cup-shaped tumor demonstrated keratinocyte atypia with a central core of keratinaceous debris. C, Sebaceous tumor with a modestly increased ratio of basaloid cells to sebocytes. The patient’s medical history included diabetes mellitus type 2, hypercholesterolemia, hypertension, and depression. Review of her family medical history revealed that her paternal grandfather died from melanoma and that her father died from colon cancer. She stated that most of the men in her family had died from some form of cancer by the fourth decade of life. On physical examination, a tender, centrally depressed, firm, pink 1.1-cm nodule was present on her upper cutaneous lip (Figure, A). Three other skin-colored to pink papules were present on her face and neck. Shave biopsies of all 4 skin lesions were performed (Figure, B and C). What Is Your Diagnosis?",Muir-Torre syndrome,easy
"A young man presented for a second opinion regarding acquired color blindness and visual loss. He was recently hospitalized for confusion, short-term memory loss, vomiting, and diarrhea. He also experienced hair loss (Figure 1), a facial rash, hoarseness, and painful peripheral neuropathy in his feet. His blood pressure on admission was 150/102 mm Hg, his pulse was 118 beats/min, and ophthalmic examination findings demonstrated decreased visual acuity and dyschromatopsia. He reported difficulty opening his eyelids during hospitalization but denied any history of diplopia. Results of a complete blood cell count, comprehensive metabolic panel, and erythrocyte sedimentation rate were within reference limits, and computed tomography of the head without contrast showed no abnormalities. A lumbar puncture showed normal opening pressure with a mildly elevated protein level in the cerebrospinal fluid. Alopecia was noted in our patient in addition to temporal thinning of the lateral half of the eyebrows. On our examination, best-corrected visual acuity was 20/70 OU. Extraocular motility was full in both eyes, and confrontational visual field test findings were full in all quadrants. The patient missed 4 color plates on Ishihara pseudoisochromatic testing. The slitlamp examination revealed an unremarkable anterior segment, and results of dilated ophthalmoscopy showed temporal optic nerve pallor in both eyes. The macula, vessels, and retinal periphery were unremarkable on examination. Automated perimetry showed bilateral central scotomas, and results of a multifocal electroretinogram were normal. What Would You Do Next?",Check blood and urine for heavy metals,medium
"A healthy white man in his late 70s was referred to the retina clinic for evaluation of nerve fiber layer infarcts (cotton-wool spots). He had been experiencing nonprogressive diminished vision in his left eye for 6 weeks. He denied any history of diabetes or past ocular problems and reported having mild hypertension for which he was taking lisinopril. Review of systems was positive for fatigue of his tongue while eating but he denied any jaw claudication, fevers, malaise, joint pain, or weight loss. His best-corrected visual acuity was 20/25 OD and 20/30 OS. Pupillary and anterior segment examination in both eyes were unremarkable with the exception of bilateral nuclear sclerotic cataracts. Dilated fundus examination of the right eye showed a nerve fiber layer infarct (NFLI) inferior to the optic nerve (Figure 1A). In the left eye, there were several scattered NFLIs in the peripapillary region (Figure 1B). Fluorescein angiography (FA) showed relatively normal flow without evidence of occlusion or vasculitis. An extensive inflammatory and infectious laboratory workup revealed a hemoglobin level of 12.6 g/dL and elevated erythrocyte sedimentation rate and C-reactive protein level of 54 mm/h and 6.16 mg/L, respectively (to convert hemoglobin to grams per liter, multiply by 10, and C-reactive protein to nanomoles per liter, multiply by 9.524). Antinuclear antibody testing was positive (1:80 with homogenous pattern). Further workup including human immunodeficiency virus testing was nonrevealing. Fundus photographs of the right and left eye demonstrating nerve fiber layer infarcts in the peripapillary region. Media clarity is affected by nuclear sclerotic cataracts in both eyes. What Would You Do Next?",Proceed with temporal artery biopsy,hard
"A 64-year-old African American woman presented to the emergency department for evaluation of bleeding mouth sores, tender crusted plaques on her scalp, and blisters on her skin. Three weeks previously, she noticed painful erosions throughout her mouth. A week later, painful blisters appeared on her upper extremities, trunk, and thighs. She also reported 2 pruritic and painful lesions on her scalp that had appeared 6 months prior, shortly after a chemical hair treatment. She had a history of alcohol, tobacco, cocaine, and marijuana use but denied current illicit drug use. She had not taken any medications prior to the appearance of the lesions. The patient reported a 2.25-kg weight loss, subjective fevers, and chills but no urinary symptoms. On admission, the patient was tachycardic (113/min), but she was afebrile and other vital signs were normal. Physical examination revealed crusted plaques on her scalp bilaterally (Figure). Erosive stomatitis involving the lower lip, buccal mucosa, hard palate, soft palate, and tongue was noted (Figure). Multiple well-circumscribed, round-to-oval bullae, erosions, and hyperpigmented patches were noted on her upper extremities, trunk, and thighs (Figure). Laboratory evaluation revealed a serum creatinine level of 7.1 mg/dL (627.6 μmol/L), up from a baseline (10 days prior) level of 0.9 mg/dL (79.6 μmol/L). Urinalysis revealed a specific gravity of 1.015 and was positive for hyaline casts and protein but negative for white blood cells, red blood cells, and bacteria. A complete blood cell count was unremarkable. Results of human immunodeficiency virus screen and urine drug screen were normal. Left, Crusted plaques on scalp of patient. Center, Erosive stomatitis of the lower lip, buccal mucosa, hard palate, soft palate, and tongue. Right, Bullae and erosions on the upper back. What Would You Do Next?",Perform skin biopsy for immunofluorescence,hard
